user_1,user_2,relationship,closeness
0,1,friend,0.9258160511663730
1,0,friend,0.9258160511663730
0,925,colleague,0.6
925,0,colleague,0.6
0,618,child,0.9
618,0,parent,0.9
0,580,acquaintance,0.3682580284254550
580,0,partner,0.3682580284254550
0,388,child,0.9
388,0,parent,0.9
0,365,child,0.9
365,0,parent,0.9
0,33,child,0.9
33,0,parent,0.9
0,116,colleague,0.6
116,0,colleague,0.6
0,39,acquaintance,0.49089173016437100
39,0,acquaintance,0.49089173016437100
0,206,client,0.1996850264840900
206,0,neighbor,0.1996850264840900
1,575,friend,0.9258160511663730
575,1,friend,0.9258160511663730
1,578,neighbor,0.45776521041258600
578,1,acquaintance,0.45776521041258600
1,322,neighbor,0.2765262139656200
322,1,partner,0.2765262139656200
1,485,child,0.9
485,1,parent,0.9
1,858,colleague,0.6
858,1,colleague,0.6
1,743,friend,0.7924916061196480
743,1,friend,0.7924916061196480
1,569,client,0.20614963095269100
569,1,neighbor,0.20614963095269100
1,860,friend,0.7626553947404790
860,1,friend,0.7626553947404790
1,651,acquaintance,0.3106795370950470
651,1,neighbor,0.3106795370950470
1,225,friend,0.9059100634602180
225,1,friend,0.9059100634602180
1,196,child,0.9
196,1,parent,0.9
1,609,acquaintance,0.33288516543960400
609,1,client,0.33288516543960400
1,570,client,0.23932414581250700
570,1,neighbor,0.23932414581250700
2,893,father,0.9
893,2,child,0.9
2,29,father,0.9
29,2,child,0.9
2,437,father,0.9
437,2,child,0.9
2,167,father,0.9
167,2,child,0.9
2,900,father,0.9
900,2,child,0.9
2,985,father,0.9
985,2,child,0.9
2,806,acquaintance,0.40160519672755000
806,2,client,0.40160519672755000
2,384,father,0.9
384,2,child,0.9
3,278,child,0.9
278,3,parent,0.9
3,472,friend,0.6322656990058480
472,3,friend,0.6322656990058480
3,371,friend,0.8515171785255340
371,3,friend,0.8515171785255340
3,897,friend,0.9203225723295890
897,3,friend,0.9203225723295890
4,492,father,0.9
492,4,child,0.9
4,821,friend,0.7730001367884510
821,4,friend,0.7730001367884510
4,796,father,0.9
796,4,child,0.9
5,767,friend,0.8485040954685500
767,5,friend,0.8485040954685500
5,948,friend,0.5462981328948540
948,5,friend,0.5462981328948540
5,65,colleague,0.6
65,5,colleague,0.6
5,323,friend,0.8841744276956940
323,5,friend,0.8841744276956940
5,595,friend,0.8531970822209660
595,5,friend,0.8531970822209660
5,376,partner,0.31338862637421200
376,5,partner,0.31338862637421200
5,189,friend,0.5255895374149630
189,5,friend,0.5255895374149630
5,473,friend,0.8601568909238680
473,5,friend,0.8601568909238680
5,898,friend,0.8015330787602800
898,5,friend,0.8015330787602800
5,870,client,0.15794810715467400
870,5,acquaintance,0.15794810715467400
5,431,mother,0.9
431,5,child,0.9
5,418,friend,0.5161427620489190
418,5,friend,0.5161427620489190
6,848,father,0.9
848,6,child,0.9
6,498,partner,0.3040487119656920
498,6,acquaintance,0.3040487119656920
6,201,partner,0.4066963720012510
201,6,neighbor,0.4066963720012510
6,256,acquaintance,0.41753455658753400
256,6,partner,0.41753455658753400
6,959,father,0.9
959,6,child,0.9
6,811,neighbor,0.34436164749020500
811,6,acquaintance,0.34436164749020500
6,622,father,0.9
622,6,child,0.9
6,781,colleague,0.6
781,6,colleague,0.6
6,197,father,0.9
197,6,child,0.9
6,766,acquaintance,0.15602162994678200
766,6,acquaintance,0.15602162994678200
6,215,friend,0.5248457246157600
215,6,friend,0.5248457246157600
7,551,child,0.9
551,7,parent,0.9
7,786,neighbor,0.4786504327637610
786,7,client,0.4786504327637610
7,328,neighbor,0.36973806802924200
328,7,client,0.36973806802924200
7,417,child,0.9
417,7,parent,0.9
7,826,child,0.9
826,7,parent,0.9
7,928,acquaintance,0.21588195203089200
928,7,neighbor,0.21588195203089200
7,736,acquaintance,0.2837389443396280
736,7,client,0.2837389443396280
7,975,child,0.9
975,7,parent,0.9
7,24,child,0.9
24,7,parent,0.9
7,689,friend,0.6310470884381950
689,7,friend,0.6310470884381950
8,481,child,0.9
481,8,parent,0.9
8,734,child,0.9
734,8,parent,0.9
9,367,acquaintance,0.47627620820317500
367,9,partner,0.47627620820317500
9,311,client,0.2633590206146850
311,9,partner,0.2633590206146850
9,284,colleague,0.6
284,9,colleague,0.6
9,909,child,0.9
909,9,parent,0.9
